write ./outputs/a.txt hello  	 <1>
write ./outputs/a.txt world  	 <1>
write ./outputs/a.txt I  	 <1>
write ./outputs/a.txt am 	 <1>
write ./outputs/a.txt Willy 	 <1>
write ./outputs/a.txt   	 <1>
write ./outputs/a.txt hello  	 <2>
write ./outputs/a.txt world  	 <2>
write ./outputs/a.txt I  	 <2>
write ./outputs/a.txt am 	 <2>
write ./outputs/a.txt Willy 	 <2>
write ./outputs/a.txt   	 <2>
write ./outputs/a.txt hello  	 <3>
write ./outputs/a.txt world  	 <3>
write ./outputs/a.txt I  	 <3>
write ./outputs/a.txt am 	 <3>
write ./outputs/a.txt Willy 	 <3>
write ./outputs/a.txt   	 <3>
write ./outputs/a.txt hello  	 <4>
write ./outputs/a.txt world  	 <4>
write ./outputs/a.txt I  	 <4>
write ./outputs/a.txt am 	 <4>
write ./outputs/a.txt Willy 	 <4>
write ./outputs/a.txt   	 <4>
write ./outputs/a.txt hello  	 <5>
write ./outputs/a.txt world  	 <5>
write ./outputs/a.txt I  	 <5>
write ./outputs/a.txt am 	 <5>
write ./outputs/a.txt Willy 	 <5>
write ./outputs/a.txt   	 <5>
write ./outputs/a.txt hello  	 <6>
write ./outputs/a.txt world  	 <6>
write ./outputs/a.txt I  	 <6>
write ./outputs/a.txt am 	 <6>
write ./outputs/a.txt Willy 	 <6>
write ./outputs/a.txt   	 <6>
write ./outputs/a.txt hello  	 <7>
write ./outputs/a.txt world  	 <7>
write ./outputs/a.txt I  	 <7>
write ./outputs/a.txt am 	 <7>
write ./outputs/a.txt Willy 	 <7>
write ./outputs/a.txt   	 <7>
write ./outputs/a.txt hello  	 <8>
write ./outputs/a.txt world  	 <8>
write ./outputs/a.txt I  	 <8>
write ./outputs/a.txt am 	 <8>
write ./outputs/a.txt Willy 	 <8>
write ./outputs/a.txt   	 <8>
write ./outputs/a.txt hello  	 <9>
write ./outputs/a.txt world  	 <9>
write ./outputs/a.txt I  	 <9>
write ./outputs/a.txt am 	 <9>
write ./outputs/a.txt Willy 	 <9>
write ./outputs/a.txt   	 <9>
write ./outputs/a.txt hello  	 <10>
write ./outputs/a.txt world  	 <10>
write ./outputs/a.txt I  	 <10>
write ./outputs/a.txt am 	 <10>
write ./outputs/a.txt Willy 	 <10>
write ./outputs/a.txt   	 <10>
write ./outputs/a.txt hello  	 <11>
write ./outputs/a.txt world  	 <11>
write ./outputs/a.txt I  	 <11>
write ./outputs/a.txt am 	 <11>
write ./outputs/a.txt Willy 	 <11>
write ./outputs/a.txt   	 <11>
write ./outputs/a.txt hello  	 <12>
write ./outputs/a.txt world  	 <12>
